Date,buy_hold,momentum_20_100,mean_reversion_5,pead_yahoo,tradingagents_proxy,daily_stock_analysis_proxy,tradingagents_true,daily_stock_analysis_true
2024-09-26,149612.70351040922,104426.82840261537,108926.80901848417,117617.37533662589,104426.82840261537,108926.80901848417,100000.0,100000.0
2024-09-27,150856.16975765038,105665.82914241034,109912.43115654077,117617.37533662589,105665.82914241034,109912.43115654077,100000.0,100000.0
2024-09-30,150313.54870162607,104791.12748827031,108887.37809093783,117617.37533662589,104791.12748827031,108887.37809093783,100000.0,100000.0
2024-10-01,147460.27461422057,102104.61983893097,104429.42445685365,117617.37533662589,102104.61983893097,104429.42445685365,100000.0,100000.0
2024-10-02,147475.5521697259,102326.92414644155,103835.78545633734,117617.37533662589,102326.92414644155,103835.78545633734,100000.0,100000.0
2024-10-03,145783.26633081725,101554.01834386797,102405.75133626848,117617.37533662589,101554.01834386797,102405.75133626848,100000.0,100000.0
2024-10-04,149656.77983211316,104097.78045531067,105362.14388820712,117617.37533662589,104097.78045531067,105362.14388820712,100000.0,100000.0
2024-10-07,148031.8318785548,102271.25636416266,102105.25920095171,117617.37533662589,102271.25636416266,102105.25920095171,100000.0,100000.0
2024-10-08,150008.7939978542,104285.85028414124,101427.74859754475,117617.37533662589,104285.85028414124,101427.74859754475,100000.0,100000.0
2024-10-09,151686.24215474186,105055.70386654655,102072.24770572259,117617.37533662589,105055.70386654655,102072.24770572259,100000.0,100000.0
2024-10-10,149741.8158997709,103014.91597708531,101065.95989080305,117617.37533662589,103014.91597708531,101065.95989080305,100000.0,100000.0
2024-10-11,153544.52317692616,105217.82246450719,103675.94432737546,117617.37533662589,105217.82246450719,103675.94432737546,100000.0,100000.0
2024-10-14,156586.4315912946,106793.56123875808,102998.3661330717,117617.37533662589,106793.56123875808,102998.3661330717,100000.0,100000.0
2024-10-15,158674.4403094012,106383.23169510585,102000.32853395524,117617.37533662589,106383.23169510585,102000.32853395524,100000.0,100000.0
2024-10-16,158720.5953171916,106222.87097733594,102735.46616930995,117617.37533662589,106222.87097733594,102735.46616930995,100000.0,100000.0
2024-10-17,155982.34273807096,104608.20541375695,99797.48460827701,117617.37533662589,104608.20541375695,99797.48460827701,100000.0,100000.0
2024-10-18,155874.48781744982,104269.30152542738,96518.21736270974,117617.37533662589,104269.30152542738,96518.21736270974,100000.0,100000.0
2024-10-21,155302.14594781332,104317.8054655912,95003.90461209399,117617.37533662589,104317.8054655912,95003.90461209399,100000.0,100000.0
2024-10-22,156116.83131862216,104540.8657651629,95678.57560429217,117617.37533662589,104540.8657651629,95678.57560429217,100000.0,100000.0
2024-10-23,152890.69777004787,102547.03732839103,94868.70247331858,117617.37533662589,102547.03732839103,94868.70247331858,100000.0,100000.0
2024-10-24,155288.68789972423,104503.61605673007,96876.86137595268,117617.37533662589,104503.61605673007,96876.86137595268,100000.0,100000.0
2024-10-25,154298.38139450512,104326.60035307586,97355.74164827389,117617.37533662589,104326.60035307586,97355.74164827389,100000.0,100000.0
2024-10-28,155874.3287188377,106298.08993965581,99777.44341154546,117617.37533662589,106298.08993965581,99777.44341154546,100000.0,100000.0
2024-10-29,156418.73725510808,106999.2852220366,100370.93619823511,117617.37533662589,106999.2852220366,100370.93619823511,100000.0,100000.0
2024-10-30,155473.07582974303,105105.25496329092,95738.59031045761,118567.97503003498,105105.25496329092,95738.59031045761,100000.0,100000.0
2024-10-31,154119.2801012084,100686.92670117771,93994.59081970018,116701.66580978998,100686.92670117771,93994.59081970018,100000.0,100000.0
2024-11-01,156710.45348799674,101782.91006217674,98320.45118246638,115894.61950277486,101782.91006217674,98320.45118246638,100000.0,100000.0
2024-11-04,156751.42040762486,101514.13647229974,99177.19615443637,115270.26657534263,101514.13647229974,99177.19615443637,100000.0,100000.0
2024-11-05,160413.26864952917,104063.89734566843,100079.2732574488,118936.85502643858,104063.89734566843,100079.2732574488,100000.0,100000.0
